1911 2004 Ronald Reagan
1889 1945 Adolf Hitler
1707 1778 Carl Linnaeus
1917 1963 John F. Kennedy
1809 1865 Abraham Lincoln
1882 1945 Franklin D. Roosevelt
1874 1965 Winston Churchill
1920 2005 Pope John Paul II
1819 1901 Queen Victoria
1913 1994 Richard Nixon
1732 1799 George Washington
1915 1998 Frank Sinatra
1769 1821 Napoleon
1859 1926 Sidney Lee
1878 1953 Joseph Stalin
1858 1919 Theodore Roosevelt
1890 1969 Dwight D. Eisenhower
1743 1826 Thomas Jefferson
1902 1983 Nikolaus Pevsner
1908 1973 Lyndon B. Johnson
1856 1924 Woodrow Wilson
1756 1791 Wolfgang Amadeus Mozart
1869 1948 Mahatma Gandhi
1685 1750 Johann Sebastian Bach
1818 1883 Karl Marx
1925 2013 Margaret Thatcher
1822 1885 Ulysses S. Grant
1879 1955 Albert Einstein
1883 1945 Benito Mussolini
1809 1882 Charles Darwin
1812 1870 Charles Dickens
1770 1827 Ludwig van Beethoven
1884 1972 Harry S. Truman
1901 1966 Walt Disney
1918 2001 Walther-Peer Fellgiebel
1913 2006 Gerald Ford
1854 1938 Edward Meyrick
1813 1883 Richard Wagner
1899 1974 Duke Ellington
1897 1978 Pope Paul VI
1706 1790 Benjamin Franklin
1832 1904 Leslie Stephen
1856 1939 Sigmund Freud
1918 2013 Nelson Mandela
1813 1893 William Smith (lexicographer)
1828 1910 Leo Tolstoy
1767 1845 Andrew Jackson
1724 1804 Immanuel Kant
1919 1972 Jackie Robinson
1893 1976 Mao Zedong
1898 1937 George Gershwin
1891 1956 B. R. Ambedkar
1809 1849 Edgar Allan Poe
1903 1977 Bing Crosby
1835 1910 Mark Twain
1642 1727 Isaac Newton
1892 1975 Francisco Franco
1899 1980 Alfred Hitchcock
1889 1977 Charlie Chaplin
1876 1958 Pope Pius XII
1856 1950 George Bernard Shaw
1908 1997 J. J. Colledge
1870 1924 Vladimir Lenin
1917 1996 Ella Fitzgerald
1854 1900 Oscar Wilde
1738 1820 George III of the United Kingdom
1807 1870 Robert E. Lee
1874 1964 Herbert Hoover
1915 1985 Orson Welles
1694 1778 Voltaire
1813 1901 Giuseppe Verdi
1872 1970 Bertrand Russell
1881 1973 Pablo Picasso
1844 1900 Friedrich Nietzsche
1769 1852 Arthur Wellesley
1860 1936 George Hampson
1901 1971 Louis Armstrong
1902 1979 Richard Rodgers
1882 1941 James Joyce
1889 1964 Jawaharlal Nehru
1650 1702 William III of England
1899 1961 Ernest Hemingway
1811 1886 Franz Liszt
1865 1936 George V
1858 1937 George Albert Boulenger
1837 1908 Grover Cleveland
1903 2003 Bob Hope
1857 1939 Pope Pius XI
1907 1989 Laurence Olivier
1882 1971 Igor Stravinsky
1894 1971 Nikita Khrushchev
1810 1903 Pope Leo XIII
1918 1990 Leonard Bernstein
1895 1948 Babe Ruth
1892 1973 J. R. R. Tolkien
1843 1901 William McKinley
1891 1964 Cole Porter
